customer_city,lon,lat
Indaiatuba,-47.21806,-23.09028
Lavras,-44.99972,-21.24528
Votorantim,-47.43778,-23.54667
Parauapebas,-50.55474,-6.18558
Pilar do Sul,-47.71639,-23.81306
Americana,-47.33139,-22.73917
Ipu,-40.71083,-4.32222
Fraiburgo,-50.80694,-27.0479
Santo Amaro de Campos,-41.12944,-21.98389
Perdoes,-45.09139,-21.09083
Maceio,-35.73528,-9.66583
Xambioa,-48.43142,-6.59413
Planura,-48.67523,-20.06924
Rio Pardo de Minas,-42.53972,-15.60972
Pato Branco,-52.67056,-26.22861
Pindamonhangaba,-45.46167,-22.92389
Londrina,-51.16278,-23.31028
Landri Sales,-43.86456,-7.23268
Pastos Bons,-44.07667,-6.60167
Bom Jesus,-49.73776,-18.2168
Santarem,-54.70833,-2.44306
Pedra Azul,-41.29722,-16.00528
Governador Valadares,-41.94944,-18.85111
Pacoti,-38.90252,-4.19575
Para de Minas,-44.60833,-19.86028
Uruara,-53.78023,-3.63212
Novo Horizonte,-49.22083,-21.46806
Rio Grande da Serra,-46.39833,-23.74417
Palmas,-48.36028,-10.21278
Tremembe,-45.54944,-22.95833
Canoas,-51.18361,-29.91778
Santo Andre,-46.53833,-23.66389
Guanambi,-42.78139,-14.22333
Itai,-49.09056,-23.41778
Ilha Comprida,-47.74757,-24.87792
Guaratingueta,-45.1925,-22.81639
Cerro Azul,-49.29561,-24.85878
Iracemapolis,-47.51861,-22.58056
Sapeacu,-39.23848,-12.772
Ipero,-47.68861,-23.35028
Embu-Guacu,-46.81139,-23.83222
Paraopeba,-44.45323,-19.30195
Tres Pontas,-45.5125,-21.36667
Guararapes,-50.64278,-21.26083
Divinopolis,-44.88389,-20.13889
Manhumirim,-41.95806,-20.35778
Oeiras,-42.13111,-7.02528
Louveira,-46.95056,-23.08639
Vinhedo,-46.97528,-23.02972
Ponte Nova,-42.90861,-20.41639
Armação dos Búzios,-41.88167,-22.74694
Cajamar,-46.87694,-23.35611
Mococa,-47.00472,-21.46778
Nova Odessa,-47.29583,-22.7775
Salto Veloso,-51.41468,-26.90818
Sao Mateus do Sul,-50.38278,-25.87417
Porto Real,-44.29028,-22.41972
Lauro de Freitas,-38.32722,-12.89444
Nucleo Residencial Pilar,-39.4,-13.08333
Itanhandu,-44.93472,-22.29583
Torres,-49.72694,-29.33528
Iturama,-50.19556,-19.72806
Entre Rios,-38.08444,-11.94194
Carapicuiba,-46.83556,-23.5225
Marica,-42.81861,-22.91944
Cotia,-46.91917,-23.60389
Uberaba,-47.93194,-19.74833
Sao Mateus,-39.85889,-18.71611
Itapecerica,-45.12556,-20.4725
Porto Ferreira,-47.47917,-21.85389
Araputanga,-58.49729,-15.17477
Sao Joao da Boa Vista,-46.79806,-21.96917
Itupeva,-47.05778,-23.15306
Nova Europa,-48.5688,-21.79214
Valenca,-39.07306,-13.37028
Presidente Venceslau,-51.84389,-21.87611
Manaus,-60.025,-3.10194
Nova Santa Rita,-51.27431,-29.83265
Lucelia,-51.01889,-21.72028
Castanhal,-47.92639,-1.29389
Sao Bento do Sapucai,-45.68394,-22.67091
Buritama,-50.14722,-21.06611
Vespasiano,-43.92333,-19.69194
Resende,-44.44667,-22.46889
Itapeva,-48.87556,-23.98222
Almirante Tamandare,-49.31,-25.32472
Rio Acima,-43.76542,-20.11704
Guapore,-51.89028,-28.84556
Belo Vale,-44.0647,-20.41584
Anhembi,-48.16384,-22.83293
Linhares,-40.07222,-19.39111
Valenca do Piaui,-41.74556,-6.4075
Senador Modestino Goncalves,-43.21328,-17.91341
Juazeiro,-40.23381,-9.39679
Guaiba,-51.325,-30.11389
Cantagalo,-42.36806,-21.98111
Colatina,-40.63056,-19.53944
Peruibe,-46.99833,-24.32
Jumirim,-47.7982,-23.10825
Juti,-54.52155,-22.85356
Santana do Paraiso,-42.56861,-19.36361
Balneario Pinhal,-50.29309,-30.21275
Sao Joao Del Rei,-44.26167,-21.13556
Goitacazes,-41.26667,-21.81667
Laranjal,-42.45663,-21.3592
Joinville,-48.84556,-26.30444
Canela,-50.81556,-29.36556
Rio Negro,-54.97947,-19.4462
Ipiau,-39.73389,-14.13722
Messias,-35.84167,-9.38333
Jari,-54.29784,-29.28796
Santa Maria,-53.80694,-29.68417
Aracruz,-40.27333,-19.82028
Formiga,-45.42639,-20.46444
Guaranta do Norte,-54.7289,-9.75597
Rio Claro,-47.56139,-22.41139
Custodia,-37.64306,-8.0875
Sao Gabriel,-54.32,-30.33639
Braganca Paulista,-46.54194,-22.95194
Matao,-48.36583,-21.60333
Charqueadas,-51.62528,-29.95472
Ibate,-47.99667,-21.95472
Andradas,-46.56917,-22.06806
Gravatai,-50.99194,-29.94444
Santa Rosa,-54.48139,-27.87083
Taquarituba,-49.24444,-23.53306
Catanduva,-48.97278,-21.13778
Itapira,-46.82167,-22.43611
Ipiabas,-43.87111,-22.37694
Crato,-39.40944,-7.23417
Nova Lima,-43.84667,-19.98556
Ananindeua,-48.37222,-1.36556
Sao Luis,-44.30278,-2.52972
Macau,-36.63444,-5.115
Jamapara,-42.71444,-21.8975
Gaspar,-48.95889,-26.93139
Lorena,-45.12472,-22.73083
Itueta,-41.09757,-19.37775
Piedade do Rio Grande,-44.16154,-21.50287
Ourinhos,-49.87056,-22.97889
Marilia,-49.94583,-22.21389
Ipojuca,-35.06389,-8.39889
Campo Novo do Parecis,-58.02125,-13.62657
Jardim do Serido,-36.77444,-6.58444
Martins,-37.92472,-6.09212
Itaqui,-56.55306,-29.12528
Santa Luzia,-43.85139,-19.76972
Tres Coracoes,-45.25333,-21.69694
Limeira,-47.40167,-22.56472
Embu das Artes,-46.85222,-23.64889
LUIS EDUARDO MAGALHAES,-46.1146,-12.23208
Palhoca,-48.66778,-27.64528
Chapeco,-52.61833,-27.09639
Tramandai,-50.13361,-29.98472
Pirajui,-49.45722,-21.99861
Amapa do Maranhao,-45.92994,-1.6947
Vargem Grande Paulista,-47.01914,-23.62856
Alterosa,-46.14306,-21.24917
Sertao Santana,-51.66541,-30.49105
Cosmopolis,-47.19611,-22.64583
Alto do Rodrigues,-36.79683,-5.34902
Bom Jesus dos Perdoes,-46.46528,-23.135
Potiragua,-39.76689,-15.70117
Florestopolis,-51.38722,-22.86333
Rio do Sul,-49.64306,-27.21417
Varginha,-45.43028,-21.55139
Campina Grande,-35.88111,-7.23056
Montenegro,-51.46111,-29.68861
Jijoca de Jericoacoara,-40.49161,-2.87137
Matupa,-54.3499,-9.94594
Alvorada,-51.03717,-29.98897
Curitibanos,-50.58444,-27.28278
Pompeia,-50.17167,-22.10861
Paranapua,-50.59676,-20.0594
Planaltina,-47.61417,-15.45278
Jacui,-46.71842,-21.01103
Marco,-40.14667,-3.12389
Marialva,-51.79167,-23.485
Cubatao,-46.42528,-23.895
Pirapora do Bom Jesus,-47.00222,-23.39694
Colinas,-51.87384,-29.38899
Roda Velha,-45.83333,-12.7
Toledo,-53.74306,-24.71361
Camacari,-38.32417,-12.6975
Buriticupu,-46.37712,-4.51967
Sao Juliao,-40.79725,-7.05987
Redencao,-50.18116,-8.0601
Rodeiro,-42.84086,-21.21255
Borborema,-49.07361,-21.61972
Sao Vicente,-46.39194,-23.96306
Corumba,-57.65333,-19.00917
Visconde de Mauá,-44.55,-22.33333
Malacacheta,-42.07667,-17.84222
Ribeirao Cascalheira,-51.71456,-12.73516
Espera Feliz,-41.90722,-20.65028
Sirinhaem,-35.11611,-8.59083
Sao Benedito,-40.94585,-4.04957
Hortolandia,-47.22,-22.85833
Nova Monte Verde,-57.29768,-9.99743
Igapora,-42.76046,-13.89064
Santana,-43.84757,-13.0894
Aguas Lindas de Goias,-48.28611,-15.76613
Varzea Paulista,-46.82833,-23.21139
Santana de Parnaiba,-46.91778,-23.44417
Joao Ramalho,-50.78747,-22.2444
Jose Bonifacio,-49.68833,-21.05278
Miracema,-42.19667,-21.41222
Ituverava,-47.78056,-20.33944
Barra de Sao Joao,-41.98978,-22.58825
Arraial do Cabo,-42.02778,-22.96611
Assis Chateaubriand,-53.53328,-24.40824
Aparecida de Goiania,-49.24389,-16.82333
Mairinque,-47.18333,-23.54583
Taio,-50.09933,-27.08902
Coelho Neto,-43.01278,-4.25667
Suzano,-46.31083,-23.5425
Santa Bárbara D'Oeste,-47.41361,-22.75361
Ribeirao das Neves,-44.08667,-19.76694
Paracambi,-43.7084,-22.60829
Arapongas,-51.42444,-23.41944
Dona Euzebia,-42.80829,-21.32337
Uniao da Vitoria,-51.08639,-26.23
Paracatu,-46.87472,-17.22222
Lagoa dos Gatos,-35.88979,-8.67965
Cambuquira,-45.29583,-21.85222
Itapaci,-49.54944,-14.95083
Paulista,-34.87306,-7.94083
Jurema,-36.13364,-8.78579
Cachoeira do Brumado,-43.27306,-20.39556
Paulinia,-47.15417,-22.76111
Barretos,-48.56778,-20.55722
Jandira,-46.9025,-23.5275
Luziania,-47.95028,-16.2525
Fazenda Rio Grande,-49.30426,-25.66466
Assis,-50.41222,-22.66167
Itanhaem,-46.78889,-24.18306
Rio dos Indios,-52.87641,-27.25523
Sao Domingos,-37.03056,-8.65
Passo de Torres,-49.74094,-29.29393
Jaguariuna,-46.98583,-22.70556
Abre Campo,-42.43908,-20.27265
Santo Antonio do Monte,-45.29361,-20.08722
Cocal,-41.5575,-3.47194
Apucarana,-51.46083,-23.55083
Novo Hamburgo,-51.13056,-29.67833
Itaberai,-49.81028,-16.02028
Cerro Cora,-36.34583,-6.04556
Nova Hartz,-50.90836,-29.5964
Milagres,-39.81783,-12.95591
Sao Manuel,-48.57056,-22.73111
Sao Bento do Sul,-49.37861,-26.25028
Salto,-47.28694,-23.20083
Mongagua,-46.62083,-24.09306
Imperatriz,-47.49167,-5.52639
Alem Paraiba,-42.70444,-21.88778
Altamira,-52.20639,-3.20333
Lagoinha do Piaui,-42.62796,-5.80702
Piripiri,-41.77694,-4.27333
Serra Talhada,-38.29833,-7.99194
Sao Lourenco,-45.05444,-22.11639
Rio Formoso,-35.16277,-8.66877
Iguaracu,-51.85341,-23.23375
Mutuipe,-39.50472,-13.22861
Tacaratu,-37.95876,-8.99807
Itajai,-48.66194,-26.90778
Deputado Irapuan Pinheiro,-39.25923,-5.88737
Franca,-47.40083,-20.53861
Cacador,-51.015,-26.77528
Colombo,-49.22417,-25.29167
Mairipora,-46.58667,-23.31861
Piquete,-45.17611,-22.61361
Bicas,-44.27389,-20.04917
Sabara,-43.78326,-19.85393
Carlos Barbosa,-51.50361,-29.2975
Medina,-41.47694,-16.2225
Concordia,-52.02778,-27.23417
Ararangua,-49.48583,-28.93472
Leme,-47.39028,-22.18556
Gororos,-43.23389,-18.80833
Santo Antonio de Jesus,-39.26139,-12.96889
Cujubim,-62.44252,-8.97819
Registro,-47.84361,-24.4875
Santa Helena de Goias,-50.59694,-17.81361
Cariacica,-40.46919,-20.3005
Manoel Ribas,-51.63111,-24.52402
Serra Negra,-46.70056,-22.61222
Jacupiranga,-48.00222,-24.6925
Kalore,-51.68029,-23.86713
Iguaba Grande,-42.22889,-22.83917
Protasio Alves,-51.4962,-28.74413
Piratuba,-51.77474,-27.45623
Cacapava,-45.70694,-23.10083
Espigao do Oeste,-63,-11
Petrolandia,-38.30348,-8.84265
Sao Roque,-47.13528,-23.52917
Planalto,-53.72859,-25.72679
Pombal,-37.80167,-6.77028
Guaiuba,-38.63722,-4.03972
Arapora,-49.13761,-18.49061
Santa Vitoria,-50.12139,-18.83861
Cruz,-40.17167,-2.91778
Penapolis,-50.0775,-21.41972
Bonfim Paulista,-47.81583,-21.26472
Ribeirao,-35.37778,-8.51444
Parnaiba,-41.77667,-2.90472
Rubiataba,-49.80333,-15.16444
Cruzeiro,-44.96278,-22.57611
Marataizes,-40.82444,-21.04333
Silvano,-47.19139,-18.84417
Estancia Velha,-51.17389,-29.64833
Penedo,-36.58639,-10.29028
Galia,-49.57865,-22.34323
Santo Antonio da Patrulha,-50.56024,-29.82214
Campo Maior,-42.16861,-4.82778
Ilheus,-39.04944,-14.78889
Porto Velho,-63.90389,-8.76194
Caxias,-43.35611,-4.85889
Jambeiro,-45.71217,-23.28154
Nacip Raydan,-42.17506,-18.47447
Nilopolis,-43.41389,-22.8075
Piraquara,-49.06333,-25.44167
Garopaba,-48.6145,-28.02744
Sao Leopoldo,-51.14722,-29.76028
Garanhuns,-36.49278,-8.89028
Itapipoca,-39.57861,-3.49444
Presidente Prudente,-51.38889,-22.12556
Rosario do Sul,-54.91417,-30.25833
Birigui,-50.34,-21.28861
Sao Joao da Barra,-41.05111,-21.64028
Cataguases,-42.69667,-21.38917
Divisa Alegre,-41.39107,-15.69447
Paripiranga,-37.86167,-10.6875
Marechal Candido Rondon,-54.05667,-24.55611
Aguas Claras,-50.88472,-30.14111
Passo Fundo,-52.40667,-28.26278
Ji-Paraná,-61.95167,-10.88528
Bandeirantes,-54.33095,-19.80863
Conceicao do Rio Verde,-45.08528,-21.88083
Guarapuava,-51.45806,-25.39528
Amparo,-46.76444,-22.70111
Mata Grande,-37.73222,-9.1175
Alvorada,-49.12472,-12.48
Dias D'Ávila,-38.28065,-12.59678
Dumont,-47.99598,-21.24438
Aparecida,-45.22972,-22.84694
Coronel Fabriciano,-42.62889,-19.51861
Sao Tiago,-44.55961,-20.93607
Guacui,-41.67944,-20.77556
Avare,-48.92583,-23.09861
Maetinga,-41.69603,-14.57879
Engenheiro Coelho,-47.17256,-22.48904
Jacarezinho,-49.96944,-23.16056
Cidreira,-50.20556,-30.18111
Coromandel,-47.20028,-18.47333
Sao Jose do Rio Claro,-56.85065,-13.52704
Candeias,-45.28719,-20.73894
Alvinopolis,-43.04889,-20.10667
Votuporanga,-49.97278,-20.42278
Uruana,-49.6875,-15.49806
Maravilha,-53.18283,-26.75798
Campos do Jordao,-45.59139,-22.73944
Sao Joao do Triunfo,-50.26243,-25.7041
Lagoa Vermelha,-51.52583,-28.20861
Ibotirama,-43.22056,-12.18528
Barra do Turvo,-48.4079,-24.89045
Jaguariaiva,-49.70583,-24.25111
Palmares do Sul,-50.50972,-30.25778
Buenopolis,-44.02374,-17.87455
Sao Cristovao,-37.20639,-11.01472
Rio Branco,-67.81,-9.97472
Santo Antonio dos Lopes,-44.47506,-4.82567
Chiapetta,-53.92051,-27.9763
Ponta Grossa,-50.16194,-25.095
Camamu,-39.10389,-13.94472
Alto Boa Vista,-51.74596,-11.82825
Benedito Novo,-49.43603,-26.78592
Tupassi,-53.49207,-24.63318
Santa Adelia,-48.80417,-21.24278
Sabino,-49.5765,-21.4797
Barra do Pojuca,-38.24332,-12.36588
Itaborai,-42.85944,-22.74444
Alagoinhas,-38.41917,-12.13556
Primavera do Leste,-54.19501,-15.14064
Campo Formoso,-40.32139,-10.5075
Sao Pedro do Sul,-54.17889,-29.62056
Sao Jeronimo,-51.72222,-29.95917
Manoel Urbano,-69.25972,-8.83889
Arroio dos Ratos,-51.72917,-30.07722
Estrela,-51.93718,-29.5122
Francisco Dantas,-38.12624,-6.01644
Pirapozinho,-51.5,-22.27528
Mandaguacu,-52.09528,-23.34722
Coronel Xavier Chaves,-44.20221,-21.02869
Cianorte,-52.605,-23.66333
Ipanema,-41.76801,-19.75724
Xanxere,-52.40417,-26.87694
Rio Bonito,-42.60972,-22.70861
Jequitinhonha,-41.00333,-16.43389
Tarumirim,-41.91984,-19.30041
Sao Joao Nepomuceno,-43.01056,-21.54
Varzea da Palma,-44.73083,-17.59806
Viamao,-51.02333,-30.08111
Augustinopolis,-47.91538,-5.5108
Lajedo,-36.32,-8.66361
Portelandia,-52.69623,-17.34253
Jarinu,-46.72833,-23.10139
Inubia Paulista,-50.94738,-21.72002
Boa Vista,-60.67333,2.81972
Ponto dos Volantes,-41.46344,-16.8544
Cabo Frio,-42.01861,-22.87944
Santo Estevao,-39.25139,-12.43028
Telemaco Borba,-50.61556,-24.32389
Passos,-46.60972,-20.71889
Sao Mateus do Maranhao,-44.475,-4.04167
Jaragua do Sul,-49.06667,-26.48611
Santa Isabel do Para,-48.12221,-1.37975
Itapeva,-46.21291,-22.69829
Campo do Meio,-45.79572,-21.12604
Caico,-37.09778,-6.45833
Brusque,-48.9175,-27.09806
Cerquilho,-47.74361,-23.165
Joao Pinheiro,-46.1725,-17.7425
Sobral,-40.34972,-3.68611
Morungaba,-46.78699,-22.88318
Itatiaia,-44.56333,-22.49611
Guaraciaba do Norte,-40.7475,-4.16694
Tabatinga,-48.6875,-21.71667
Sao Pedro do Ivai,-51.86952,-23.83342
Salto do Jacui,-53.16909,-29.04212
Timon,-42.83667,-5.09417
Guaira,-48.31056,-20.31833
Medeiros,-46.358,-20.01139
Lins,-49.7425,-21.67861
Aragarcas,-52.25083,-15.8975
Sombrio,-49.61667,-29.11389
Itagiba,-39.84278,-14.28361
Gameleira,-35.38667,-8.58444
Bom Jesus do Norte,-41.63939,-21.08831
Maracanau,-38.62556,-3.87667
